dataset,component,harmonic,cos_coeff_T,sin_coeff_T,magnitude_T
Structure2 h7,Br_T,27,-0.0005092329059703371,-2.9486392359401356e-16,0.0005092329059703371
Structure2 h7,Br_T,28,-0.00047443594379029596,3.6443855725102797e-17,0.00047443594379029596
Structure2 h7,Br_T,29,-0.00044318237267636847,-3.202641866751458e-17,0.00044318237267636847
Structure2 h7,Br_T,30,-0.0004150071970791271,4.417437057588218e-17,0.0004150071970791271
Structure2 h7,Br_T,31,-0.00038951929817800877,-1.562668359121832e-16,0.00038951929817800877
Structure2 h7,Br_T,32,-0.0003663877815040164,7.730514850779382e-18,0.0003663877815040164
Structure2 h7,Br_T,33,-0.0003453311803593423,-1.8994979347629337e-16,0.0003453311803593423
Structure2 h7,Br_T,34,-0.0003261088520749119,3.1363803108876345e-16,0.0003261088520749119
Structure2 h7,Br_T,35,-0.00030851407240665404,5.46657835876542e-17,0.00030851407240665404
Structure2 h7,Br_T,36,-0.00029236845549298024,-5.3561424323257144e-17,0.00029236845549298024
Structure2 h7,Br_T,37,-0.00027751741633520293,6.333500381317108e-16,0.00027751741633520293
Structure2 h7,Br_T,38,-0.00026382645894007165,4.599656336213732e-16,0.00026382645894007165
Structure2 h7,Br_T,39,-0.0002511781227786703,1.380449080496318e-16,0.0002511781227786703
Structure2 h7,Br_T,40,-0.00023946945741091236,-1.123685551524003e-16,0.00023946945741091236
Structure2 h7,Br_T,41,-0.0002286099233777852,-2.661505827196901e-16,0.0002286099233777852
Structure2 h7,Br_T,42,-0.00021851963905858345,1.1650990239388925e-16,0.00021851963905858345
Structure2 h7,Br_T,43,-0.0002091279098297496,6.554372234196518e-16,0.0002091279098297496
Structure2 h7,Br_T,44,-0.00020037198872769328,-1.5792337480877878e-16,0.00020037198872769328
Structure2 h7,Br_T,45,-0.00019219602790248848,-9.663143563474226e-17,0.00019219602790248848
