objective,Br_L2,Bt_L2,alpha_deg,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.3301140979867869,0.1063140992973967,0.2111718000945968,52.0,0.32,0.14,1.0,12.0,0.07999999999999999
0.33011733806919896,0.09478083513404424,0.23533650293515473,52.5,0.28,0.14,1.1,12.0,0.07999999999999999
0.33028018954865845,0.09996413266645224,0.23031605688220624,52.0,0.32,0.16,1.0,11.5,0.09999999999999999
0.3303076004567805,0.10145805505659433,0.22593343528699752,52.0,0.34,0.14,1.1,11.5,0.09999999999999999
0.33034844169241356,0.09798417345477477,0.23236426823763878,52.0,0.26,0.14,1.0,11.0,0.07999999999999999
0.33037351825508365,0.0734882157458032,0.25688530250928043,53.25,0.30000000000000004,0.14,1.0,12.0,0.06
0.3303997503901388,0.09988540416630652,0.23051434622383227,52.25,0.30000000000000004,0.14,1.0,12.0,0.06
0.3304513118985839,0.1003450919365422,0.22941603608895733,52.5,0.32,0.14,1.0,12.5,0.07999999999999999
0.33045211967125854,0.09582189792316026,0.23463022174809825,52.5,0.26,0.14,1.0,12.0,0.06
0.33045867901762355,0.09549264652039931,0.23496603249722425,52.75,0.28,0.14,1.0,12.5,0.07999999999999999
0.33051664911872003,0.09933751656193107,0.23117913255678899,52.25,0.32,0.14,1.0,12.0,0.06
0.3305178688100878,0.09658600152224026,0.23393186728784757,52.25,0.26,0.14,1.1,11.5,0.07999999999999999
0.33053897386850983,0.09432982794940807,0.23620914591910175,52.75,0.30000000000000004,0.14,1.0,12.5,0.07999999999999999
0.3305894444549988,0.10069649392506771,0.2284999626797957,52.25,0.30000000000000004,0.14,1.1,12.0,0.07999999999999999
0.3306161125017203,0.08276391016192497,0.2478522023397953,53.0,0.26,0.14,1.0,12.0,0.06
0.3306244996511254,0.093709065169086,0.2369154344820394,52.5,0.32,0.14,1.1,12.0,0.07999999999999999
0.3306672696695553,0.06750144217337517,0.2631658274961801,53.5,0.30000000000000004,0.14,1.0,12.0,0.07999999999999999
0.33068184029312575,0.10042937240318085,0.22939372308358322,52.25,0.32,0.14,1.1,12.0,0.07999999999999999
0.3306926886845527,0.07310988887810976,0.25758279980644294,53.25,0.32,0.14,1.0,12.0,0.06
0.33076445176547187,0.10093181974579778,0.22796899252807856,52.5,0.30000000000000004,0.14,1.0,12.5,0.07999999999999999
0.33079377972934587,0.08807669920004613,0.24271708052929972,52.5,0.34,0.14,1.1,11.5,0.07999999999999999
0.33081483554770624,0.061272915937107,0.26954191961059926,53.5,0.30000000000000004,0.14,1.0,11.5,0.07999999999999999
0.3308637334486256,0.10688205401856304,0.21021757139293648,52.0,0.30000000000000004,0.14,1.0,12.0,0.07999999999999999
0.3308788465634527,0.10214151030236483,0.22445431565635815,52.0,0.28,0.14,1.1,11.5,0.09999999999999999
0.3309880135009676,0.07466168422678579,0.25632632927418186,53.25,0.28,0.14,1.0,12.0,0.06
0.33105449982784807,0.09624487011512675,0.2348096297127213,52.5,0.26,0.14,1.1,12.0,0.07999999999999999
0.33106987538121463,0.09301502009906837,0.23805485528214626,52.5,0.30000000000000004,0.14,1.0,12.0,0.09999999999999999
0.33107443203340614,0.06113816295575624,0.2699362690776499,53.5,0.32,0.14,1.0,11.5,0.07999999999999999
0.3311082164720621,0.09721165975163801,0.23389655672042411,52.75,0.26,0.14,1.0,12.5,0.07999999999999999
0.3311385642139153,0.10001894558834827,0.23108172744887054,52.0,0.34,0.16,1.0,11.5,0.09999999999999999
0.33115010240058296,0.10628227843322477,0.2123032671009087,52.0,0.34,0.14,1.0,12.0,0.07999999999999999
